time,a.Co,b.Co,c.Co
0.0,0.000996323317876207,8.302694315635059e-05,8.302694315635059e-05
1.0,0.0008302694315635059,0.0,0.0
2.0,0.0005811886020944541,8.302694315635059e-05,0.0
3.0,0.0005811886020944541,8.302694315635059e-05,0.00016605388631270117
4.0,0.00024908082946905176,0.00033210777262540235,0.00024908082946905176
5.0,0.00024908082946905176,0.0,8.302694315635059e-05
6.0,0.00033210777262540235,8.302694315635059e-05,8.302694315635059e-05
7.0,0.00033210777262540235,0.00024908082946905176,0.00024908082946905176
8.0,0.00016605388631270117,0.00016605388631270117,0.0
9.0,8.302694315635059e-05,8.302694315635059e-05,0.00016605388631270117
10.0,0.00016605388631270117,0.00033210777262540235,0.00016605388631270117
11.0,0.00033210777262540235,0.00016605388631270117,0.0
12.0,0.0,0.0006642155452508047,0.0
13.0,0.00024908082946905176,0.0005811886020944541,0.0
14.0,0.00041513471578175293,0.0004981616589381035,8.302694315635059e-05
15.0,0.00024908082946905176,0.00041513471578175293,0.0
16.0,0.00024908082946905176,0.00041513471578175293,0.0
17.0,0.00016605388631270117,0.0004981616589381035,0.0
18.0,8.302694315635059e-05,0.0007472424884071553,0.0
19.0,0.0,0.0007472424884071553,8.302694315635059e-05
20.0,0.0,0.0006642155452508047,0.0
21.0,8.302694315635059e-05,0.00024908082946905176,0.00016605388631270117
22.0,0.00024908082946905176,0.0004981616589381035,8.302694315635059e-05
23.0,0.0,0.0006642155452508047,0.0
24.0,0.00016605388631270117,0.000996323317876207,0.0
25.0,8.302694315635059e-05,0.0009132963747198565,0.0
26.0,0.0,0.0009132963747198565,8.302694315635059e-05
27.0,8.302694315635059e-05,0.0009132963747198565,0.0
28.0,8.302694315635059e-05,0.0004981616589381035,8.302694315635059e-05
29.0,0.0,0.0007472424884071553,8.302694315635059e-05
30.0,0.00016605388631270117,0.0006642155452508047,0.0
31.0,8.302694315635059e-05,0.0006642155452508047,8.302694315635059e-05
32.0,8.302694315635059e-05,0.00041513471578175293,0.0
33.0,8.302694315635059e-05,0.00033210777262540235,8.302694315635059e-05
34.0,0.0,0.00041513471578175293,8.302694315635059e-05
35.0,0.00016605388631270117,0.0004981616589381035,0.0
36.0,0.0,0.0007472424884071553,8.302694315635059e-05
37.0,8.302694315635059e-05,0.0006642155452508047,8.302694315635059e-05
38.0,8.302694315635059e-05,0.0009132963747198565,0.0
39.0,0.00016605388631270117,0.0005811886020944541,8.302694315635059e-05
40.0,0.00016605388631270117,0.0005811886020944541,8.302694315635059e-05
41.0,0.00016605388631270117,0.0004981616589381035,0.0
42.0,8.302694315635059e-05,0.00033210777262540235,8.302694315635059e-05
43.0,8.302694315635059e-05,0.00041513471578175293,0.0
44.0,0.00033210777262540235,0.00033210777262540235,0.0
45.0,0.00016605388631270117,0.0008302694315635059,0.0
46.0,0.0,0.0008302694315635059,0.0
47.0,0.0,0.0010793502610325577,8.302694315635059e-05
48.0,0.0,0.0010793502610325577,8.302694315635059e-05
49.0,0.0,0.0010793502610325577,8.302694315635059e-05
50.0,8.302694315635059e-05,0.0010793502610325577,0.0
51.0,0.0,0.000996323317876207,0.0
52.0,0.0,0.0010793502610325577,8.302694315635059e-05
53.0,0.0,0.0010793502610325577,8.302694315635059e-05
54.0,8.302694315635059e-05,0.0010793502610325577,0.0
55.0,0.0,0.0010793502610325577,8.302694315635059e-05
56.0,0.0,0.0010793502610325577,8.302694315635059e-05
57.0,0.0,0.0010793502610325577,8.302694315635059e-05
58.0,0.0,0.0010793502610325577,8.302694315635059e-05
59.0,0.0,0.000996323317876207,0.0
60.0,0.0,0.0006642155452508047,0.0
61.0,0.00016605388631270117,0.0008302694315635059,0.0
62.0,8.302694315635059e-05,0.0007472424884071553,0.0
63.0,8.302694315635059e-05,0.0009132963747198565,0.0
64.0,0.0,0.000996323317876207,0.0
65.0,0.0,0.0010793502610325577,8.302694315635059e-05
66.0,0.0,0.000996323317876207,0.0
67.0,0.0,0.0009132963747198565,8.302694315635059e-05
68.0,0.0,0.000996323317876207,0.00016605388631270117
69.0,0.0,0.0006642155452508047,0.00016605388631270117
70.0,0.00016605388631270117,0.0005811886020944541,8.302694315635059e-05
71.0,0.00024908082946905176,0.0004981616589381035,8.302694315635059e-05
72.0,8.302694315635059e-05,0.0009132963747198565,0.0
73.0,0.0,0.0011623772041889082,0.0
74.0,0.0,0.0010793502610325577,8.302694315635059e-05
75.0,0.0,0.0010793502610325577,8.302694315635059e-05
76.0,0.0,0.0008302694315635059,0.00016605388631270117
77.0,0.00016605388631270117,0.0006642155452508047,0.0
78.0,8.302694315635059e-05,0.0005811886020944541,0.0
79.0,8.302694315635059e-05,0.00041513471578175293,0.0
80.0,0.00016605388631270117,0.00024908082946905176,8.302694315635059e-05
81.0,8.302694315635059e-05,0.00024908082946905176,0.0
82.0,8.302694315635059e-05,0.00041513471578175293,0.0
83.0,8.302694315635059e-05,0.0009132963747198565,0.0
84.0,0.0,0.0009132963747198565,8.302694315635059e-05
85.0,0.0,0.0008302694315635059,0.0
86.0,0.00016605388631270117,0.000996323317876207,0.0
87.0,0.0,0.000996323317876207,0.0
