steps,state
0,0.0
1,0.04419826310984394
2,0.1433037682610677
3,0.18817515887479613
4,0.01729718127194251
5,0.14976855288239485
6,0.15644697772222804
7,0.005259883178940794
8,0.19266103522288164
9,0.1569157756129598
10,0.013286460164470682
11,0.19146543309313271
12,0.16716305807292708
13,0.02298961086207654
14,0.15748654240411541
15,0.053585967224006104
16,0.07301647381430719
17,0.08809113951767092
18,0.08012202456730935
19,0.10004889397255914
20,0.01840934029168877
21,0.009188553689910384
22,0.0750924562312879
23,0.11642774078768824
24,0.18759734256504598
25,0.14340687490908038
26,0.06816771174538201
27,0.04186606671759581
28,0.19384411449663919
29,0.04629693070613457
30,0.16333730849640699
31,0.12752391806716548
32,0.04018850471040683
33,0.0564581557144011
34,0.025148996803748783
35,0.024965746523046797
36,0.18414389670849074
37,0.08132301990780247
38,0.09699483000331227
39,0.052002850865257313
40,0.0016308014696344575
41,0.042732998296859975
42,0.17735167698029877
43,0.19712567070595088
44,0.023098343962361857
45,0.0953905492163736
46,0.13262759562038529
47,0.1279782894675636
48,0.14518469243450088
49,0.12952711753930976
50,0.16897531186643644
51,0.14731584275274962
52,0.07834568434711137
53,0.002507977740060752
54,0.09027103613771506
55,0.10082151480855249
56,0.1712325347338979
57,0.09057268737798028
58,0.12662267532974938
59,0.16968902524041285
60,0.19385385481454315
61,0.02244202379448279
62,0.15841091444309027
63,1.0
64,0.8945640593865211
65,0.8145247988572181
66,0.8499910782917142
67,0.9810105594288452
68,0.9664838393676574
69,0.9482926678268133
70,0.8883470165454296
71,0.8750448769377899
72,0.910102049001629
73,0.8889088535321522
74,0.8345533749257985
75,0.8896411075249256
76,0.8360262473025376
77,0.880284572209574
78,0.966741603499844
79,0.9602947151257694
80,0.8696141798746285
81,0.867111521116512
82,0.822778927686504
83,0.8045970192038515
84,0.9674472947161198
85,0.8852448825668007
86,0.9879001911414358
87,0.8322669827109367
88,0.894639110181521
89,0.9465591504948045
90,0.8949954315632317
91,0.912774356667257
